time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,train/ent_coef,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_b2_mean,eval/ep_b2_std,eval/ep_b1_std,eval/ep_pressure_obj_mean,eval/ep_b1_mean,eval/ep_pump_price_obj_mean,eval/ep_b3_std,eval/ep_pressure_obj_std
484,48.0,21504,,448,21.47278797,,44,,,,,,,,,,,,,
483,48.0,21888,0.003,452,21.48112944,-4.759260654449463,45,0.005038278177380562,2723,0.009999999776482582,0.8176063132182326,0.18783714734505202,0.7766294824215022,0.14747623779130176,0.10961755268720688,0.9692982456140351,0.8502882100753109,0.5997438441657577,0.1083999523235706,0.1451899994840478
482,48.0,21888,,456,21.48112944,,45,,,,,,,,,,,,,
484,48.0,22272,0.003,460,21.471801890000002,-4.793987274169922,45,0.007492204196751118,2771,0.009999999776482582,,,,,,,,,,
484,48.0,22272,,464,21.471801890000002,,46,,,,,,,,,,,,,
477,48.0,22656,0.003,468,21.487670359999996,-5.007270812988281,47,0.00886523351073265,2819,0.009999999776482582,0.8122463862159681,0.2036637197549266,0.7354722769274195,0.19456892397565362,0.10615078227005498,0.9890350877192983,0.8455558007732417,0.6182235138974529,0.12369670203411928,0.053142351716699704
477,48.0,22656,,472,21.487670359999996,,47,,,,,,,,,,,,,
478,48.0,23040,0.003,476,21.42450246,-5.025694847106934,48,0.008895876817405224,2867,0.009999999776482582,,,,,,,,,,
478,48.0,23040,,480,21.42450246,,48,,,,,,,,,,,,,
476,48.0,23424,0.003,484,21.40247566999999,-5.121495246887207,49,0.007730311248451471,2915,0.009999999776482582,0.7890618969852478,0.2058128033059092,0.738583517134352,0.18160203277408724,0.09369198656661287,0.9835526315789473,0.8627283380611289,0.6207784882701112,0.12498590142555953,0.06437448089343181
476,48.0,23424,,488,21.40247566999999,,49,,,,,,,,,,,,,
477,48.0,23808,0.003,492,21.410592549999997,-4.9956512451171875,49,0.011216133832931519,2963,0.009999999776482582,,,,,,,,,,
477,48.0,23808,,496,21.410592549999997,,49,,,,,,,,,,,,,
476,48.0,24192,0.003,500,21.419919769999996,-5.159776210784912,50,0.011099498718976974,3011,0.009999999776482582,0.8037904759712016,0.19077822030689945,0.7201671239662335,0.20084438333355822,0.09951311162666603,0.9857456140350878,0.8540474470436044,0.5946324831480526,0.14081832421843168,0.07422579984139643
476,48.0,24192,,504,21.419919769999996,,50,,,,,,,,,,,,,
478,48.0,24576,0.003,508,21.39257396,-5.156705856323242,51,0.005338655784726143,3059,0.009999999776482582,,,,,,,,,,
478,48.0,24576,,512,21.39257396,,51,,,,,,,,,,,,,
476,48.0,24960,0.003,516,21.393134370000002,-5.358260154724121,52,0.01306086778640747,3107,0.009999999776482582,0.8118572840538211,0.2482847628205148,0.7454982744785396,0.19121838831587282,0.11079014526673417,0.9846491228070176,0.8223751736802185,0.624668179004613,0.14685482886364395,0.06040894538803211
476,48.0,24960,,520,21.393134370000002,,52,,,,,,,,,,,,,
478,48.0,25344,0.003,524,21.39599699,-5.208789348602295,52,0.008420976810157299,3155,0.009999999776482582,,,,,,,,,,
478,48.0,25344,,528,21.39599699,,53,,,,,,,,,,,,,
476,48.0,25728,0.003,532,21.4077367,-5.483646392822266,53,0.011227937415242195,3203,0.009999999776482582,0.8099480225984798,0.22059257976794677,0.7892849717202642,0.14362613824366055,0.12322178807391446,1.0,0.8306357205785738,0.622011267709365,0.12966704201091467,0.0
476,48.0,25728,,536,21.4077367,,53,,,,,,,,,,,,,
477,48.0,26112,0.003,540,21.42862748,-5.641561508178711,54,0.010503694415092468,3251,0.009999999776482582,,,,,,,,,,
477,48.0,26112,,544,21.42862748,,54,,,,,,,,,,,,,
476,48.0,26496,0.003,548,21.387448669999998,-5.484960079193115,55,0.014718201942741871,3299,0.009999999776482582,0.8007210855234292,0.2132478804286218,0.7627133457625807,0.1742187250144379,0.16663747366877138,0.9945175438596491,0.7791565610093201,0.6285202579315273,0.14954386848701023,0.03798357034142275
476,48.0,26496,,552,21.387448669999998,,55,,,,,,,,,,,,,
478,48.0,26880,0.003,556,21.36299889,-5.469225883483887,56,0.007744231261312962,3347,0.009999999776482582,,,,,,,,,,
478,48.0,26880,,560,21.36299889,,56,,,,,,,,,,,,,
477,48.0,27264,0.003,564,21.357686349999998,-5.618154525756836,57,0.006897495128214359,3395,0.009999999776482582,0.7864713805931822,0.1945138412989967,0.7410499591597897,0.1944830249291259,0.11260175965996479,0.9945175438596491,0.8539369473307188,0.616448464585034,0.12394045671984448,0.03798357034142275
477,48.0,27264,,568,21.357686349999998,,57,,,,,,,,,,,,,
478,48.0,27648,0.003,572,21.372217640000002,-5.670454025268555,57,0.01201295480132103,3443,0.009999999776482582,,,,,,,,,,
478,48.0,27648,,576,21.372217640000002,,57,,,,,,,,,,,,,
477,48.0,28032,0.003,580,21.410648069999997,-5.94724178314209,58,0.010133273899555206,3491,0.009999999776482582,0.8042493703066953,0.21645022271954126,0.749980215331892,0.16551323730026857,0.08895779598452985,1.0,0.877865838970039,0.6133497361239993,0.13269925759549941,0.0
477,48.0,28032,,584,21.410648069999997,,58,,,,,,,,,,,,,
478,48.0,28416,0.003,588,21.402407370000006,-5.725520133972168,59,0.011313403025269508,3539,0.009999999776482582,,,,,,,,,,
478,48.0,28416,,592,21.402407370000006,,59,,,,,,,,,,,,,
477,48.0,28800,0.003,596,21.385294359999993,-5.9382243156433105,60,0.00992970634251833,3587,0.009999999776482582,0.8009033133441955,0.19399180135351396,0.7617961476641449,0.16178847330009022,0.0969072665278482,1.0,0.8609841905949754,0.6169411052840617,0.12606676593328411,0.0
477,48.0,28800,,600,21.385294359999993,,60,,,,,,,,,,,,,
479,48.0,29184,0.003,604,21.44075444,-6.000932693481445,60,0.011119948700070381,3635,0.009999999776482582,,,,,,,,,,
479,48.0,29184,,608,21.44075444,,60,,,,,,,,,,,,,
480,48.0,29568,0.003,612,21.42102495,-5.874950885772705,61,0.006642241030931473,3683,0.009999999776482582,,,,,,,,,,
480,48.0,29568,,616,21.42102495,,61,,,,,,,,,,,,,
477,48.0,29952,0.003,620,21.431957340000004,-5.900425910949707,62,0.012847838923335075,3731,0.009999999776482582,0.7792795346360685,0.2019884292871961,0.7273433419504135,0.1921542676637423,0.11692280004506991,0.9912280701754385,0.8661856458766807,0.6111622185169542,0.1456055684464454,0.0365503297197272
477,48.0,29952,,624,21.431957340000004,,62,,,,,,,,,,,,,
478,48.0,30336,0.003,628,21.414679770000006,-6.23978853225708,63,0.008886515162885189,3779,0.009999999776482582,,,,,,,,,,
478,48.0,30336,,632,21.414679770000006,,63,,,,,,,,,,,,,
