train/learning_rate,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/time_elapsed,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_pressure_obj_mean,eval/ep_timesteps_below_zero,eval/ep_b1_mean,eval/ep_pressure_obj_std,eval/ep_nodes_below_zero,eval/ep_b3_std,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_nodes_below_threshold,eval/ep_nodes_above_threshold,eval/ep_b2_std,eval/ep_b2_mean
,,478,21.68951462,44928,,936,,48.0,,93,,,,,,,,,,,,,,
0.003,-7.755908012390137,479,21.679676289999996,45312,0.004780853632837534,940,0.009999999776482582,48.0,5651,94,,,,,,,,,,,,,,
,,479,21.679676289999996,45312,,944,,48.0,,94,,,,,,,,,,,,,,
0.003,-8.502106666564941,478,21.65876532,45696,0.0064070564694702625,948,0.009999999776482582,48.0,5699,95,0.8484714837359789,0.2855712879814283,1.0,0,0.881729287969405,0.0,0.0,0.11936367769917587,0.6422399746624338,0.11475096952433698,0.0,0.0,0.08936057309862767,0.6677200190256244
,,478,21.65876532,45696,,952,,48.0,,95,,,,,,,,,,,,,,
0.003,-7.751136302947998,479,21.638441360000005,46080,0.004001053050160408,956,0.009999999776482582,48.0,5747,96,,,,,,,,,,,,,,
,,479,21.638441360000005,46080,,960,,48.0,,96,,,,,,,,,,,,,,
0.003,-8.140503883361816,478,21.63763408,46464,0.003910367377102375,964,0.009999999776482582,48.0,5795,97,0.8622609611329635,0.29100791659577174,1.0,0,0.8694966036101464,0.0,0.0,0.10579047956778664,0.656628671527801,0.11279689346408334,0.0,0.0,0.09156122388904578,0.612555384452408
,,478,21.63763408,46464,,968,,48.0,,97,,,,,,,,,,,,,,
0.003,-7.824798583984375,479,21.642459819999996,46848,0.005313404370099306,972,0.009999999776482582,48.0,5843,97,,,,,,,,,,,,,,
,,479,21.642459819999996,46848,,976,,48.0,,97,,,,,,,,,,,,,,
0.003,-8.108769416809082,478,21.657207179999997,47232,0.005172197241336107,980,0.009999999776482582,48.0,5891,98,0.8713931018861839,0.2888918558438876,1.0,0,0.8674633322585072,0.0,0.0,0.09822669880745169,0.6622241790496998,0.10705071487830252,0.0,0.0,0.07145079034746155,0.664713918979233
,,478,21.657207179999997,47232,,984,,48.0,,98,,,,,,,,,,,,,,
0.003,-8.306694030761719,479,21.6774008,47616,0.004790341481566429,988,0.009999999776482582,48.0,5939,99,,,,,,,,,,,,,,
,,479,21.6774008,47616,,992,,48.0,,99,,,,,,,,,,,,,,
